TimeStamp,Inertial_Velocity,Dynamic_Pressure,Angle_of_Attack,Roll_Rate,Combustion_Chamber_Pressure
1,244,31,4.1,0.7,508
2,246,32,4.2,0.8,510
3,248,33,4.4,0.9,512
4,249,34,4.5,1,514
5,252,35,4.6,1.1,516
6,254,36,4.8,1.2,518
7,256,37,4.9,1.3,520
8,258,38,5,1.4,522
9,259,39,5.1,1.5,524
10,262,40,5.2,1.6,526
11,264,41,5.4,1.7,528
12,266,42,5.5,1.8,530
13,268,43,5.6,1.9,532
14,269,44,5.7,2,534
15,272,45,5.9,2.1,536
16,274,46,6,2.2,538
17,276,47,6.1,2.3,540
18,278,48,6.2,2.4,542
19,279,49,6.4,2.5,544
20,282,50,6.5,2.6,546
21,284,51,6.6,2.7,548
22,286,52,6.7,2.8,550
23,288,53,6.9,2.9,552
24,289,54,7,3,554
25,292,55,7.1,3.1,556
26,294,56,7.2,3.2,558
27,296,57,7.4,3.3,560
28,298,58,7.5,3.4,562
29,299,59,7.6,3.5,564
30,302,60,7.7,3.6,566
31,304,61,7.9,3.7,568
32,306,62,8,3.8,570
33,308,63,8.1,3.9,572
34,309,64,8.2,4,574
35,312,65,8.4,4.1,576
36,314,66,8.5,4.2,578
37,316,67,8.6,4.3,580
38,318,68,8.7,4.4,582
39,319,69,8.9,4.5,584
40,322,70,9,4.6,586
41,324,71,9.1,4.7,588
42,326,72,9.2,4.8,590
43,328,73,9.4,4.9,592
44,329,74,9.5,5,594
45,332,75,9.6,5.1,596
46,334,76,9.7,5.2,598
47,336,77,9.9,5.3,600
48,338,78,10,5.4,602
49,339,79,10.1,5.5,604
50,342,80,10.2,5.6,606
51,344,81,10.4,5.7,608
52,346,82,10.5,5.8,610
53,348,83,10.6,5.9,612
54,349,84,10.7,6,614
55,352,85,10.9,6.1,616
56,354,86,11,6.2,618
57,356,87,11.1,6.3,620
58,358,88,11.2,6.4,622
59,359,89,11.4,6.5,624
60,362,90,11.5,6.6,626
61,364,91,11.6,6.7,628
62,366,92,11.7,6.8,630
63,368,93,11.9,6.9,632
64,369,94,12,7,634
65,372,95,12.1,7.1,636
66,374,96,12.2,7.2,638
67,376,97,12.4,7.3,640
68,378,98,12.5,7.4,642
69,379,99,12.6,7.5,644
70,382,100,12.7,7.6,646
71,384,101,12.9,7.7,648
72,386,102,13,7.8,650
73,388,103,13.1,7.9,652
74,389,104,13.2,8,654
75,392,105,13.4,8.1,656
76,394,106,13.5,8.2,658
77,396,107,13.6,8.3,660
78,398,108,13.7,8.4,662
79,399,109,13.9,8.5,664
80,402,110,14,8.6,666
81,404,111,14.1,8.7,668
82,406,112,14.2,8.8,670
83,408,113,14.4,8.9,672
84,409,114,14.5,9,674
85,412,115,14.6,9.1,676
86,414,116,14.7,9.2,678
87,416,117,14.9,9.3,680
88,418,118,15,9.4,682
89,419,119,15.1,9.5,684
90,422,120,15.2,9.6,686
91,424,121,15.4,9.7,688
92,426,122,15.5,9.8,690
93,428,123,15.6,9.9,692
94,429,124,15.7,10,694
95,432,125,15.9,10.1,696
96,434,126,16,10.2,698
97,436,127,16.1,10.3,700
98,438,128,16.2,10.4,702
99,439,129,16.4,10.5,704
100,442,130,16.5,10.6,706
101,444,131,16.6,10.7,708
102,446,132,16.7,10.8,710
103,448,133,16.9,10.9,712
104,449,134,17,11,714
105,452,135,17.1,11.1,716
106,454,136,17.2,11.2,718
107,456,137,17.4,11.3,720
108,458,138,17.5,11.4,722
109,459,139,17.6,11.5,724
110,462,140,17.7,11.6,726
111,464,141,17.9,11.7,728
112,466,142,18,11.8,730
113,468,143,18.1,11.9,732
114,469,144,18.2,12,734
115,472,145,18.4,12.1,736
116,474,146,18.5,12.2,738
117,476,147,18.6,12.3,740
118,478,148,18.7,12.4,742
119,479,149,18.9,12.5,744
120,482,150,19,12.6,746
121,484,151,19.1,12.7,748
122,486,152,19.2,12.8,750
123,488,153,19.4,12.9,752
124,489,154,19.5,13,754
125,492,155,19.6,13.1,756
126,494,156,19.7,13.2,758
127,496,157,19.9,13.3,760
128,498,158,20,13.4,762
129,499,159,20.1,13.5,764
130,502,160,20.2,13.6,766
131,504,161,20.4,13.7,768
132,506,162,20.5,13.8,770
133,508,163,20.6,13.9,772
134,509,164,20.7,14,774
135,512,165,20.9,14.1,776
136,514,166,21,14.2,778
137,516,167,21.1,14.3,780
138,518,168,21.2,14.4,782
139,519,169,21.4,14.5,784
140,522,170,21.5,14.6,786
141,524,171,21.6,14.7,788
142,526,172,21.7,14.8,790
143,528,173,21.9,14.9,792
144,529,174,22,15,794
145,532,175,22.1,15.1,796
146,534,176,22.2,15.2,798
147,536,177,22.4,15.3,800
148,538,178,,15.4,802
149,539,179,,15.5,804
150,542,180,,15.6,806
